date,open,close,high,low,amount
2025-12-19,10.81,10.91,10.94,10.81,160308.0
2025-12-22,10.91,10.9,10.98,10.9,163748.0
2025-12-23,10.9,10.75,10.9,10.74,173759.0
2025-12-24,10.78,10.81,10.83,10.71,159155.0
2025-12-25,10.79,11.89,11.89,10.78,1337382.0
2025-12-26,11.68,11.55,11.81,11.4,1178776.0
2025-12-29,11.5,11.53,11.63,11.41,493003.0
2025-12-30,11.44,11.31,11.53,11.31,412171.0
2025-12-31,11.3,11.32,11.42,11.25,283975.0
2026-01-05,11.39,11.54,11.64,11.31,502410.0
2026-01-06,11.52,11.71,11.79,11.47,579945.0
2026-01-07,11.66,11.55,11.7,11.51,376879.0
2026-01-08,11.55,11.83,11.88,11.52,639458.0
2026-01-09,11.8,12.02,12.06,11.76,840324.0
2026-01-12,12.12,12.36,12.4,11.9,1203768.0
