ret3_threshold_pct,ret20_threshold_pct,samples,codes,date_min,date_max,avg_ret1_pct,avg_ret3_pct,avg_ret20_pct,avg_bias5_pct,avg_fwd1_pct,median_fwd1_pct,down_fwd1_ratio,avg_fwd3_pct,median_fwd3_pct,down_fwd3_ratio,avg_fwd5_pct,median_fwd5_pct,down_fwd5_ratio,avg_fwd10_pct,median_fwd10_pct,down_fwd10_ratio
4.0,8.0,728,12,2014-05-21,2026-03-10,1.862,5.767,-0.441,3.275,0.076,0.0,0.4904,0.498,0.064,0.4766,0.696,0.256,0.4684,0.877,0.257,0.467
4.0,10.0,838,12,2014-05-21,2026-03-10,1.849,5.749,0.79,3.26,0.142,0.0,0.4821,0.583,0.081,0.4726,0.675,0.256,0.4618,0.933,0.339,0.4618
4.0,12.0,928,12,2014-05-21,2026-03-10,1.865,5.786,1.767,3.284,0.119,0.0,0.4903,0.591,0.064,0.4731,0.693,0.176,0.4731,0.951,0.266,0.4688
4.0,15.0,1047,12,2014-05-21,2026-03-16,1.923,5.821,3.112,3.338,0.185,0.0,0.4881,0.734,0.105,0.4651,0.77,0.237,0.467,1.007,0.277,0.4661
4.0,18.0,1129,12,2014-05-21,2026-03-16,1.932,5.912,4.084,3.399,0.209,0.0,0.4898,0.718,0.078,0.4668,0.766,0.186,0.4721,1.063,0.286,0.4659
5.0,8.0,395,12,2014-05-22,2026-03-02,2.073,6.869,-1.027,3.815,0.017,-0.198,0.5165,0.41,0.0,0.4987,0.642,0.0,0.4911,0.845,0.222,0.4734
5.0,10.0,458,12,2014-05-22,2026-03-02,2.058,6.819,0.348,3.789,0.107,-0.097,0.5044,0.49,0.0,0.4956,0.618,0.122,0.4782,0.935,0.306,0.4607
5.0,12.0,515,12,2014-05-22,2026-03-02,2.127,6.852,1.515,3.835,0.082,-0.142,0.5126,0.566,0.0,0.4913,0.681,0.0,0.4835,0.988,0.258,0.4641
5.0,15.0,593,12,2014-05-22,2026-03-02,2.208,6.861,3.108,3.888,0.177,-0.066,0.5008,0.786,0.0,0.4806,0.779,0.136,0.4739,1.076,0.302,0.457
5.0,18.0,659,12,2014-05-22,2026-03-02,2.211,6.945,4.454,3.95,0.228,0.0,0.4977,0.802,0.0,0.4795,0.83,0.136,0.4765,1.217,0.407,0.4522
6.0,8.0,233,12,2014-05-22,2026-02-26,2.357,7.891,-1.635,4.382,0.101,-0.142,0.5107,0.79,0.0,0.485,0.844,0.172,0.4764,1.473,0.383,0.4421
6.0,10.0,259,12,2014-05-22,2026-02-26,2.344,7.895,-0.587,4.387,0.188,-0.1,0.5058,0.946,0.0,0.4788,0.846,0.181,0.4672,1.537,0.561,0.4363
6.0,12.0,288,12,2014-05-22,2026-02-26,2.454,7.977,0.583,4.47,0.156,-0.122,0.5104,1.02,0.028,0.4722,1.079,0.201,0.4618,1.678,0.705,0.4375
6.0,15.0,334,12,2014-05-22,2026-02-26,2.559,7.966,2.36,4.518,0.286,0.0,0.494,1.306,0.108,0.4641,1.204,0.256,0.4581,1.705,0.613,0.4341
6.0,18.0,383,12,2014-05-22,2026-02-26,2.545,8.026,4.174,4.574,0.374,0.0,0.4883,1.286,0.131,0.4648,1.265,0.258,0.4621,1.768,0.812,0.4334
7.0,8.0,132,12,2014-05-22,2026-01-07,2.594,8.995,-2.234,4.964,0.007,0.0,0.4924,0.949,0.079,0.4697,0.861,0.235,0.4621,2.022,0.582,0.4394
7.0,10.0,148,12,2014-05-22,2026-01-07,2.632,8.972,-1.051,4.983,0.107,0.0,0.4932,1.19,0.079,0.4595,0.865,0.176,0.4662,1.998,0.706,0.4324
7.0,12.0,164,12,2014-05-22,2026-01-07,2.774,9.131,0.128,5.115,0.116,-0.05,0.5,1.274,0.028,0.4634,1.121,0.176,0.4634,2.178,0.706,0.439
7.0,15.0,190,12,2014-05-22,2026-01-07,2.902,9.112,1.978,5.174,0.307,0.051,0.4842,1.787,0.108,0.4526,1.397,0.256,0.4526,2.196,0.582,0.4421
7.0,18.0,225,12,2014-05-22,2026-01-30,2.842,9.13,4.249,5.206,0.404,0.0,0.4844,1.709,0.101,0.4667,1.466,0.258,0.4578,2.318,0.864,0.4356
