vol_group,stop_pct,samples,avg_exit_return_pct,median_exit_return_pct,down_ratio,avg_hold_days,avg_max_runup_pct,profit_capture_ratio
high_vol,4.0,668,2.155,-1.064,0.5704,8.7,8.367,0.2576
high_vol,4.5,668,1.74,-1.156,0.5674,9.38,8.61,0.2021
high_vol,5.0,668,1.119,-1.896,0.6003,10.51,8.772,0.1275
high_vol,5.5,668,1.04,-1.797,0.5928,11.59,9.165,0.1135
high_vol,6.0,668,0.696,-1.77,0.5823,12.71,9.588,0.0726
low_vol,4.0,147,-1.334,-2.402,0.6939,8.9,3.655,-0.3649
low_vol,4.5,147,-1.107,-1.915,0.6122,10.56,3.814,-0.2902
low_vol,5.0,147,-0.564,-0.598,0.5102,12.28,4.33,-0.1302
low_vol,5.5,147,-0.551,0.0,0.483,13.24,4.392,-0.1255
low_vol,6.0,147,-0.747,0.0,0.4966,13.73,4.397,-0.1698
mid_vol,4.0,446,0.68,-2.134,0.6413,8.5,6.693,0.1016
mid_vol,4.5,446,0.022,-2.24,0.6345,9.2,7.007,0.0031
mid_vol,5.0,446,0.146,-2.118,0.6188,10.71,7.597,0.0192
mid_vol,5.5,446,0.056,-2.126,0.6166,11.53,7.792,0.0071
mid_vol,6.0,446,-0.047,-2.148,0.6009,12.29,7.957,-0.0059
